name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"Shrikeh\SymfonyApp\Logger\Traits\ContextualLogger",8,4,16,2.5,40,0.4,0.01,2,6.4,3,5,2,2,2,2,0.22,103.44,67,36.44,N/A,N/A,1,1,1.5,2.5,1,1.5,2.5,5,18,13,N/A,1,1,1,0,0,0,0,2,1,N/A,0.01
"Shrikeh\SymfonyApp\Logger\Traits\LevelLogger",3,2,3,1,3,1,0,0,3,1,2,1,1,1,1,0.15,76.82,76.82,0,N/A,N/A,1,1,1,2,1,1,2,0,8,8,N/A,1,1,1,0,0,0,0,1,1,N/A,0.01
"Shrikeh\SymfonyApp\Logger\Psr3AppLogger",50,5,116.1,0,0,0.2,0.04,0,23.22,0,50,0,5,1,1,0.15,68.23,49.34,18.88,N/A,N/A,2,9,0.5,9.5,90,5,95,3,48,45,N/A,10,10,0,10,0,0,0,4,1,N/A,0.01
"Shrikeh\SymfonyApp\Logger\Exception\NoContextsPassed",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,171,171,0,N/A,N/A,1,1,0,1,1,0,1,0,9,9,N/A,1,1,0,1,0,0,1,2,0.67,N/A,0.03
"Shrikeh\SymfonyApp\Uid\Id\Traits\Ulid\Rfc4122Uid",7,3,11.09,1,11.09,1,0,1,11.09,3,4,1,2,1,1,0.15,65.71,65.71,0,N/A,N/A,2,16,0.65,16.65,64,2.6,66.6,0,17,17,N/A,4,4,1,3,0,0,0,2,1,N/A,0.01
"Shrikeh\SymfonyApp\Uid\Id\Traits\Ulid\BinaryUlid",5,3,7.92,0.75,5.94,1.33,0,0,10.57,2,3,1,2,1,1,0.15,69.27,69.27,0,N/A,N/A,2,9,0.58,9.58,27,1.75,28.75,0,13,13,N/A,3,3,1,2,0,0,0,2,1,N/A,0.01
"Shrikeh\SymfonyApp\Correlation\CorrelationFactory",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,0,1,0,0,1,3,0.75,N/A,0.02
"Shrikeh\SymfonyApp\Correlation\Id\CorrelationUlid",16,6,41.36,2.5,103.4,0.4,0.01,6,16.54,6,10,2,4,1,1,0.15,56.65,56.65,0,N/A,N/A,5,25,0.94,25.94,150,5.67,155.67,0,29,29,N/A,6,5,1,4,1,0,1,4,0.8,N/A,0.02
"Shrikeh\SymfonyApp\Correlation\CorrelationFactory\UlidCorrelation",4,2,4,1.5,6,0.67,0,0,2.67,1,3,1,1,1,1,0.15,75.95,75.95,0,N/A,N/A,1,1,1,2,1,1,2,0,8,8,N/A,1,1,0,1,0,0,0,5,1,N/A,0.01
"Shrikeh\SymfonyApp\Bus\Middleware\CorrelatedMessage\HandledEnvelope\StampHandler",17,9,53.89,4.8,258.67,0.21,0.02,14,11.23,5,12,4,5,2,2,0.22,80.84,61.95,18.88,N/A,N/A,2,16,0.5,16.5,32,1,33,1,16,15,N/A,2,2,0,2,0,0,1,3,0.75,N/A,0.02
"Shrikeh\SymfonyApp\Bus\Middleware\CorrelatedMessage\HandledEnvelope",22,9,69.74,4.5,313.82,0.22,0.02,17,15.5,4,18,3,6,3,3,0.45,97.3,58.31,38.99,N/A,N/A,1,16,0.5,16.5,32,1,33,10,30,20,N/A,2,2,1,1,0,0,1,4,0.8,N/A,0.02
